region,module_id,source_page_url,download_url,license,status,notes
Molise,demography,,,da_verificare,to_map,
Campania,waiting_times,,,da_verificare,to_map,
Campania,services,,,da_verificare,to_map,
Campania,emergency,,,da_verificare,to_map,
Campania,structures,,,da_verificare,to_map,
Campania,workforce,,,da_verificare,to_map,
Campania,costs,,,da_verificare,to_map,
Campania,health_expenditure,,,da_verificare,to_map,
Campania,demography,,,da_verificare,to_map,
Puglia,waiting_times,,,da_verificare,to_map,
Puglia,services,,,da_verificare,to_map,
Puglia,emergency,,,da_verificare,to_map,
Puglia,structures,,,da_verificare,to_map,
Puglia,workforce,,,da_verificare,to_map,
Puglia,costs,,,da_verificare,to_map,
Puglia,health_expenditure,,,da_verificare,to_map,
Puglia,demography,,,da_verificare,to_map,
Basilicata,waiting_times,,,da_verificare,to_map,
Basilicata,services,,,da_verificare,to_map,
Basilicata,emergency,,,da_verificare,to_map,
Basilicata,structures,,,da_verificare,to_map,
Basilicata,workforce,,,da_verificare,to_map,
Basilicata,costs,,,da_verificare,to_map,
Basilicata,health_expenditure,,,da_verificare,to_map,
Basilicata,demography,,,da_verificare,to_map,
Calabria,waiting_times,,,da_verificare,to_map,
Calabria,services,,,da_verificare,to_map,
Calabria,emergency,,,da_verificare,to_map,
Calabria,structures,,,da_verificare,to_map,
Calabria,workforce,,,da_verificare,to_map,
Calabria,costs,,,da_verificare,to_map,
Calabria,health_expenditure,,,da_verificare,to_map,
Calabria,demography,,,da_verificare,to_map,
Sicilia,waiting_times,,,da_verificare,to_map,
Sicilia,services,,,da_verificare,to_map,
Sicilia,emergency,,,da_verificare,to_map,
Sicilia,structures,,,da_verificare,to_map,
Sicilia,workforce,,,da_verificare,to_map,
Sicilia,costs,,,da_verificare,to_map,
Sicilia,health_expenditure,,,da_verificare,to_map,
Sicilia,demography,,,da_verificare,to_map,
Sardegna,waiting_times,,,da_verificare,to_map,
Sardegna,services,,,da_verificare,to_map,
Sardegna,emergency,,,da_verificare,to_map,
Sardegna,structures,,,da_verificare,to_map,
Sardegna,workforce,,,da_verificare,to_map,
Sardegna,costs,,,da_verificare,to_map,
Sardegna,health_expenditure,,,da_verificare,to_map,
Sardegna,demography,,,da_verificare,to_map,
